Nota_Matematica,IAA,Fase Ideal,Turma,RA,INDE,Nota_Portugues,IDA,IAN,Ano Nascimento,IPV,IPS,Ano ingresso,Pedra,Instituição de ensino,Nome Anonimizado,IEG,Idade,Fase,Defasagem,Gênero,Ano_Referencia
8.7,10.0,Fase 2 (5º e 6º ano),I,RA-730,7.902,8.0,8.3,5.0,2012,8.25,8.8,2021,Ametista,Escola Pública,Aluno-730,8.2,10,0,-2,Feminino,2022
7.3,9.0,Fase 2 (5º e 6º ano),I,RA-731,7.151,7.2,7.3,5.0,2012,7.083,6.9,2019,Ametista,Escola Pública,Aluno-731,8.5,10,0,-2,Feminino,2022
7.5,9.0,Fase 1 (4º ano),I,RA-732,7.347,6.8,7.2,5.0,2013,7.5,8.8,2022,Ametista,Escola Pública,Aluno-732,7.9,9,0,-1,Masculino,2022
6.0,9.5,Fase 1 (4º ano),J,RA-733,6.684,4.2,5.1,5.0,2013,6.917,5.6,2022,Ágata,Escola Pública,Aluno-733,8.5,9,0,-1,Feminino,2022
8.0,9.5,Fase 2 (5º e 6º ano),J,RA-734,6.952,6.5,7.3,5.0,2012,7.417,5.6,2022,Ágata,Escola Pública,Aluno-734,7.2,10,0,-2,Feminino,2022
7.8,9.0,Fase 2 (5º e 6º ano),J,RA-735,7.485,6.7,7.3,5.0,2012,8.583,5.6,2021,Ametista,Escola Pública,Aluno-735,9.0,10,0,-2,Feminino,2022
4.7,9.0,Fase 2 (5º e 6º ano),J,RA-736,6.707,6.2,5.4,5.0,2012,7.0,5.6,2022,Ágata,Escola Pública,Aluno-736,8.5,10,0,-2,Masculino,2022
8.5,9.5,Fase 1 (4º ano),J,RA-737,8.058,9.5,9.0,5.0,2013,9.167,5.6,2022,Ametista,Escola Pública,Aluno-737,9.2,9,0,-1,Feminino,2022
7.7,8.5,ALFA  (2º e 3º ano),J,RA-738,7.227,3.7,5.7,10.0,2014,7.5,5.6,2022,Ametista,Escola Pública,Aluno-738,8.1,8,0,0,Feminino,2022
6.0,6.4,ALFA  (2º e 3º ano),J,RA-739,6.82,5.8,5.9,10.0,2014,7.083,5.6,2022,Ágata,Escola Pública,Aluno-739,7.3,8,0,0,Masculino,2022
7.3,8.5,Fase 1 (4º ano),J,RA-740,7.218,7.0,7.2,5.0,2013,7.5,5.6,2022,Ametista,Escola Pública,Aluno-740,9.0,9,0,-1,Feminino,2022
7.3,9.5,Fase 2 (5º e 6º ano),J,RA-741,6.896,5.2,6.3,5.0,2012,7.417,5.6,2022,Ágata,Escola Pública,Aluno-741,8.4,10,0,-2,Feminino,2022
8.3,8.5,Fase 1 (4º ano),J,RA-742,7.097,6.2,7.3,5.0,2013,7.5,5.0,2022,Ametista,Escola Pública,Aluno-742,8.7,9,0,-1,Feminino,2022
4.8,10.0,Fase 1 (4º ano),J,RA-743,6.672,4.8,4.8,5.0,2013,7.5,5.6,2022,Ágata,Escola Pública,Aluno-743,7.9,9,0,-1,Feminino,2022
6.0,9.5,ALFA  (2º e 3º ano),J,RA-744,7.742,6.3,6.2,10.0,2014,7.5,5.6,2022,Ametista,Escola Pública,Aluno-744,9.7,8,0,0,Feminino,2022
8.5,9.0,Fase 1 (4º ano),J,RA-745,7.382,7.7,8.1,5.0,2013,7.75,5.6,2021,Ametista,Rede Decisão,Aluno-745,8.5,9,0,-1,Masculino,2022
7.7,8.0,ALFA  (2º e 3º ano),J,RA-746,7.656,6.7,7.2,10.0,2014,7.417,5.6,2022,Ametista,Escola Pública,Aluno-746,9.1,8,0,0,Masculino,2022
8.2,10.0,Fase 2 (5º e 6º ano),K,RA-747,7.676,9.4,8.8,5.0,2011,7.917,7.5,2022,Ametista,Escola Pública,Aluno-747,7.6,11,0,-2,Feminino,2022
9.6,10.0,Fase 1 (4º ano),K,RA-748,8.084,8.6,9.1,5.0,2013,8.25,7.5,2022,Topázio,Escola Pública,Aluno-748,9.0,9,0,-1,Masculino,2022
9.5,9.5,Fase 1 (4º ano),K,RA-749,7.484,8.1,8.8,5.0,2013,7.25,7.5,2022,Ametista,Escola Pública,Aluno-749,7.7,9,0,-1,Masculino,2022
7.1,9.5,Fase 2 (5º e 6º ano),K,RA-750,6.344,6.4,6.8,5.0,2012,5.167,4.4,2019,Ágata,Escola Pública,Aluno-750,8.9,10,0,-2,Masculino,2022
2.7,8.5,Fase 2 (5º e 6º ano),K,RA-751,5.246,4.9,3.8,5.0,2011,6.167,7.5,2022,Quartzo,Escola Pública,Aluno-751,5.8,11,0,-2,Masculino,2022
9.6,10.0,Fase 2 (5º e 6º ano),K,RA-752,8.197,9.4,9.5,5.0,2011,8.417,7.5,2022,Topázio,Escola Pública,Aluno-752,9.0,11,0,-2,Feminino,2022
9.4,9.5,ALFA  (2º e 3º ano),K,RA-753,8.481,8.8,9.1,10.0,2014,8.417,7.5,2022,Topázio,Escola Pública,Aluno-753,8.6,8,0,0,Feminino,2022
7.8,10.0,Fase 1 (4º ano),K,RA-754,6.602,8.1,7.9,5.0,2013,6.917,4.4,2022,Ágata,Escola Pública,Aluno-754,5.8,9,0,-1,Masculino,2022
9.8,9.5,ALFA  (2º e 3º ano),K,RA-755,8.566,9.3,9.5,10.0,2014,8.083,6.9,2022,Topázio,Escola Pública,Aluno-755,9.2,8,0,0,Masculino,2022
5.6,10.0,Fase 1 (4º ano),K,RA-756,6.976,5.8,5.7,5.0,2013,7.25,7.5,2022,Ágata,Escola Pública,Aluno-756,7.9,9,0,-1,Masculino,2022
9.9,9.5,Fase 1 (4º ano),K,RA-757,8.26,9.6,9.7,5.0,2013,8.5,7.5,2022,Topázio,Escola Pública,Aluno-757,9.3,9,0,-1,Feminino,2022
8.0,9.0,Fase 1 (4º ano),L,RA-758,7.911,8.2,8.1,5.0,2013,8.333,7.5,2022,Ametista,Escola Pública,Aluno-758,9.1,9,0,-1,Masculino,2022
8.3,9.0,Fase 2 (5º e 6º ano),L,RA-759,7.563,6.7,7.5,5.0,2012,7.833,7.5,2021,Ametista,Escola Pública,Aluno-759,8.6,10,0,-2,Feminino,2022
9.3,9.0,Fase 2 (5º e 6º ano),L,RA-760,8.172,8.2,8.8,5.0,2011,8.917,7.5,2021,Topázio,Escola Pública,Aluno-760,9.2,11,0,-2,Masculino,2022
8.8,10.0,Fase 1 (4º ano),L,RA-761,8.06,7.5,8.2,5.0,2013,8.25,7.5,2022,Topázio,Escola Pública,Aluno-761,9.4,9,0,-1,Masculino,2022
7.3,10.0,Fase 3 (7º e 8º ano),L,RA-762,7.28,6.0,6.7,2.5,2010,7.083,7.5,2022,Ametista,Escola Pública,Aluno-762,9.7,12,0,-3,Masculino,2022
6.3,9.5,Fase 2 (5º e 6º ano),L,RA-763,7.402,6.7,6.5,5.0,2012,7.167,7.5,2021,Ametista,Escola Pública,Aluno-763,9.7,10,0,-2,Feminino,2022
7.2,9.0,ALFA  (2º e 3º ano),L,RA-764,8.004,7.8,7.5,10.0,2014,7.667,7.5,2022,Ametista,Escola Pública,Aluno-764,8.8,8,0,0,Masculino,2022
5.0,8.5,Fase 1 (4º ano),L,RA-765,6.902,3.7,4.3,5.0,2013,7.417,7.5,2022,Ágata,Escola Pública,Aluno-765,9.3,9,0,-1,Masculino,2022
8.5,10.0,Fase 2 (5º e 6º ano),L,RA-766,8.185,8.8,8.7,5.0,2011,8.333,7.5,2020,Topázio,Escola Pública,Aluno-766,9.5,11,0,-2,Feminino,2022
7.3,9.5,Fase 2 (5º e 6º ano),L,RA-767,7.511,6.7,7.0,5.0,2012,7.583,7.5,2021,Ametista,Escola Pública,Aluno-767,9.0,10,0,-2,Masculino,2022
7.0,9.0,Fase 2 (5º e 6º ano),L,RA-768,7.646,7.2,7.1,5.0,2012,7.583,7.5,2021,Ametista,Escola Pública,Aluno-768,10.0,10,0,-2,Feminino,2022
9.6,10.0,Fase 1 (4º ano),M,RA-769,7.598,6.2,7.9,5.0,2013,8.5,7.5,2022,Ametista,Escola Pública,Aluno-769,7.5,9,0,-1,Feminino,2022
8.5,9.5,ALFA  (2º e 3º ano),M,RA-770,8.143,8.1,8.3,10.0,2015,7.333,7.5,2022,Topázio,Escola Pública,Aluno-770,8.9,7,0,0,Masculino,2022
7.2,10.0,ALFA  (2º e 3º ano),M,RA-771,7.873,6.9,7.0,10.0,2015,7.5,7.5,2022,Ametista,Escola Pública,Aluno-771,8.3,7,0,0,Feminino,2022
9.3,9.0,Fase 2 (5º e 6º ano),M,RA-772,6.994,9.2,9.2,5.0,2011,7.25,7.5,2021,Ágata,Escola Pública,Aluno-772,5.4,11,0,-2,Masculino,2022
9.3,10.0,Fase 1 (4º ano),M,RA-773,6.922,6.8,8.1,5.0,2013,7.083,5.0,2022,Ágata,Escola Pública,Aluno-773,6.8,9,0,-1,Feminino,2022
7.8,10.0,ALFA  (2º e 3º ano),M,RA-774,7.587,4.4,6.1,10.0,2014,7.417,7.5,2022,Ametista,Escola Pública,Aluno-774,7.8,8,0,0,Feminino,2022
5.5,7.9,Fase 2 (5º e 6º ano),N,RA-775,5.79,5.8,5.7,5.0,2012,6.417,4.4,2021,Quartzo,Escola Pública,Aluno-775,5.7,10,0,-2,Masculino,2022
0.0,0.0,Fase 1 (4º ano),N,RA-776,3.898,3.3,1.7,5.0,2013,6.333,4.4,2022,Quartzo,Escola Pública,Aluno-776,4.3,9,0,-1,Feminino,2022
6.5,8.0,ALFA  (2º e 3º ano),N,RA-777,7.096,4.0,5.3,10.0,2014,7.0,7.5,2022,Ametista,Escola Pública,Aluno-777,7.7,8,0,0,Masculino,2022
6.0,10.0,Fase 1 (4º ano),N,RA-778,7.432,8.2,7.1,5.0,2013,8.833,7.5,2021,Ametista,Escola Pública,Aluno-778,6.7,9,0,-1,Feminino,2022
2.2,9.5,Fase 2 (5º e 6º ano),N,RA-779,5.702,3.0,2.6,5.0,2012,7.083,7.5,2022,Quartzo,Escola Pública,Aluno-779,5.0,10,0,-2,Masculino,2022
6.3,8.0,Fase 1 (4º ano),N,RA-780,6.955,7.5,6.9,5.0,2013,7.167,7.5,2022,Ágata,Escola Pública,Aluno-780,7.6,9,0,-1,Feminino,2022
8.0,10.0,Fase 1 (4º ano),N,RA-781,7.786,8.5,8.3,5.0,2013,7.75,7.5,2021,Ametista,Escola Pública,Aluno-781,8.9,9,0,-1,Feminino,2022
5.7,9.5,ALFA  (2º e 3º ano),N,RA-782,7.485,6.3,6.0,10.0,2014,7.0,7.5,2022,Ametista,Escola Pública,Aluno-782,8.4,8,0,0,Masculino,2022
4.7,9.5,ALFA  (2º e 3º ano),N,RA-783,6.996,7.3,6.0,10.0,2014,6.917,7.5,2021,Ágata,Escola Pública,Aluno-783,5.8,8,0,0,Masculino,2022
7.8,9.5,Fase 1 (4º ano),O,RA-784,8.34,8.5,8.2,5.0,2013,9.25,7.5,2022,Topázio,Escola Pública,Aluno-784,10.0,9,0,-1,Masculino,2022
8.8,9.0,Fase 1 (4º ano),O,RA-785,7.642,8.0,8.4,5.0,2013,7.667,7.5,2022,Ametista,Escola Pública,Aluno-785,8.6,9,0,-1,Feminino,2022
6.3,9.0,Fase 2 (5º e 6º ano),O,RA-786,7.004,5.8,6.1,5.0,2011,7.167,5.6,2019,Ágata,Escola Pública,Aluno-786,9.5,11,0,-2,Masculino,2022
4.2,8.5,ALFA  (2º e 3º ano),O,RA-787,7.205,2.7,3.4,10.0,2014,7.25,7.5,2022,Ametista,Escola Pública,Aluno-787,9.5,8,0,0,Masculino,2022
7.8,10.0,ALFA  (2º e 3º ano),O,RA-788,8.264,8.2,8.0,10.0,2014,8.667,5.6,2021,Topázio,Rede Decisão,Aluno-788,9.3,8,0,0,Masculino,2022
3.7,9.0,ALFA  (2º e 3º ano),O,RA-789,7.405,4.7,4.2,10.0,2015,7.417,7.5,2022,Ametista,Escola Pública,Aluno-789,9.4,7,0,0,Feminino,2022
8.5,9.0,Fase 2 (5º e 6º ano),O,RA-790,7.504,7.2,7.8,5.0,2011,7.417,7.5,2022,Ametista,Escola Pública,Aluno-790,8.9,11,0,-2,Feminino,2022
6.3,9.5,Fase 2 (5º e 6º ano),O,RA-791,7.507,6.7,6.5,5.0,2011,8.5,7.5,2022,Ametista,Escola Pública,Aluno-791,8.7,11,0,-2,Feminino,2022
6.5,9.5,Fase 1 (4º ano),O,RA-792,7.025,5.8,6.2,5.0,2013,7.167,7.5,2022,Ágata,Escola Pública,Aluno-792,8.0,9,0,-1,Feminino,2022
6.0,9.5,Fase 2 (5º e 6º ano),O,RA-793,6.894,6.0,6.0,5.0,2012,7.333,7.5,2022,Ágata,Escola Pública,Aluno-793,7.6,10,0,-2,Masculino,2022
3.7,9.5,ALFA  (2º e 3º ano),O,RA-794,7.335,4.5,4.1,10.0,2014,7.333,7.5,2022,Ametista,Escola Pública,Aluno-794,8.9,8,0,0,Feminino,2022
8.0,9.0,ALFA  (2º e 3º ano),O,RA-795,8.064,6.5,7.3,10.0,2014,7.333,7.5,2022,Topázio,Escola Pública,Aluno-795,9.7,8,0,0,Feminino,2022
5.8,9.5,Fase 2 (5º e 6º ano),Q,RA-796,7.232,5.0,5.4,5.0,2012,7.667,7.5,2022,Ametista,Escola Pública,Aluno-796,9.3,10,0,-2,Feminino,2022
8.2,9.0,Fase 2 (5º e 6º ano),Q,RA-797,7.217,6.5,7.3,5.0,2012,7.5,7.5,2021,Ametista,Escola Pública,Aluno-797,8.5,10,0,-2,Masculino,2022
7.0,8.0,Fase 2 (5º e 6º ano),Q,RA-798,7.049,5.7,6.3,5.0,2012,7.667,7.5,2022,Ametista,Escola Pública,Aluno-798,8.3,10,0,-2,Masculino,2022
8.5,8.0,Fase 2 (5º e 6º ano),Q,RA-799,7.676,7.2,7.8,5.0,2012,7.917,7.5,2022,Ametista,Escola Pública,Aluno-799,9.6,10,0,-2,Feminino,2022
6.3,8.0,ALFA  (2º e 3º ano),Q,RA-800,6.818,5.8,6.1,10.0,2014,7.5,7.5,2022,Ágata,Escola Pública,Aluno-800,5.4,8,0,0,Masculino,2022
7.2,7.0,Fase 1 (4º ano),Q,RA-801,6.644,6.3,6.8,5.0,2013,7.5,7.5,2022,Ágata,Escola Pública,Aluno-801,6.6,9,0,-1,Masculino,2022
9.0,9.0,Fase 1 (4º ano),Q,RA-802,7.831,7.5,8.3,5.0,2013,8.333,7.5,2021,Ametista,Escola Pública,Aluno-802,9.0,9,0,-1,Masculino,2022
6.5,10.0,Fase 2 (5º e 6º ano),Q,RA-803,6.98,6.0,6.3,5.0,2012,7.417,7.5,2022,Ágata,Escola Pública,Aluno-803,7.2,10,0,-2,Feminino,2022
5.5,10.0,Fase 2 (5º e 6º ano),Q,RA-804,6.848,4.0,4.8,5.0,2012,7.667,6.3,2022,Ágata,Escola Pública,Aluno-804,8.4,10,0,-2,Masculino,2022
