modelo,posicao_pr_auc,parametros,class_weight,selecionada_por_parcimonia,media_cv_pr_auc,desvio_cv_pr_auc,media_cv_recall,desvio_cv_recall,media_cv_precision,desvio_cv_precision,media_cv_f1,desvio_cv_f1,media_cv_brier,media_treino_pr_auc,gap_treino_validacao_pr_auc,tempo_medio_ajuste
GradientBoostingClassifier,8,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 250, ""subsample"": 1.0}",não aplicável,False,0.8889770042944806,0.015956839355965632,0.8894596651445965,0.0233198561925889,0.797938907690108,0.03008505194386104,0.8408226221337246,0.020809270123757773,0.15403753447607213,0.9719284359474477,0.08295143165296714,1.0285895347595215
GradientBoostingClassifier,9,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""subsample"": 1.0}",não aplicável,False,0.8886981902042237,0.019457809383102317,0.8866818873668189,0.016535050886344046,0.8095420755714873,0.031791730995164844,0.846005292665172,0.02012307829153544,0.15205829468579019,0.974066961895165,0.08536877169094126,1.0660608291625977
GradientBoostingClassifier,10,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100, ""subsample"": 1.0}",não aplicável,False,0.8885482283216521,0.021592466607127544,0.8757229832572297,0.01202242629495747,0.7913797313797314,0.030971061209889215,0.8312348657500278,0.021770047910239437,0.15522210242779955,0.9615772299013505,0.07302900157969838,0.48181872367858886
LogisticRegression,1,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 3.0}, ""solver"": ""liblinear""}","{""0"": 1, ""1"": 3.0}",False,0.9297004804192243,0.020204118627478087,0.9586377473363775,0.023015364592241714,0.7585321505214964,0.025709463774567756,0.8464603796057777,0.015542060052209677,0.15878452704360205,0.9367068383027766,0.0070063578835523055,0.0460909366607666
LogisticRegression,2,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 3.0}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 3.0}",False,0.9294596738032428,0.02002665933518828,0.9586377473363775,0.023015364592241714,0.7585321505214964,0.025709463774567756,0.8464603796057777,0.015542060052209677,0.15870702277408147,0.936744957890518,0.007285284087275246,0.06810731887817383
LogisticRegression,3,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 2.0}, ""solver"": ""liblinear""}","{""0"": 1, ""1"": 2.0}",False,0.929347466865616,0.019911829498835718,0.93382800608828,0.04544761905544216,0.7714132609808455,0.030416789970324678,0.8437948770343005,0.021457109313925145,0.14494035539928082,0.9373940508779345,0.008046584012318503,0.04124116897583008
LogisticRegression,4,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 1.5}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 1.5}",False,0.9291898566122306,0.01979253309557262,0.9089421613394215,0.04125301155246106,0.7904345028535879,0.03433265801408851,0.844625772336151,0.025018805360940772,0.13801262959857838,0.9376911426608174,0.008501286048586798,0.07543878555297852
LogisticRegression,5,"{""C"": 10.0, ""class_weight"": {""0"": 1, ""1"": 2.0}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 2.0}",False,0.9291266321332523,0.01824489111263613,0.947640791476408,0.03511135445144248,0.7700806208679898,0.026077802958541913,0.848989609531597,0.017829074300601325,0.1460777653715643,0.9370724894369797,0.007945857303727433,0.08436698913574218
LogisticRegression,6,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 2.0}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 2.0}",False,0.929053900145351,0.01974994595204501,0.9310882800608828,0.04983506872815323,0.772677994643334,0.02930888412898117,0.8432916648949706,0.02186871521035567,0.1449348946110312,0.9373584682320744,0.008304568086723307,0.07337236404418945
LogisticRegression,7,"{""C"": 100.0, ""class_weight"": {""0"": 1, ""1"": 1.5}, ""solver"": ""liblinear""}","{""0"": 1, ""1"": 1.5}",False,0.929001897591279,0.019899116297334384,0.9089421613394215,0.04125301155246106,0.7884362660037494,0.03224135525428229,0.8435008757273834,0.023605580097031505,0.1380170971171752,0.9376792507415918,0.008677353150312705,0.046570634841918944
