modelo,indice_configuracao,posicao_pr_auc,parametros,class_weight,tempo_medio_ajuste,desvio_tempo_ajuste,media_cv_pr_auc,desvio_cv_pr_auc,media_treino_pr_auc,gap_treino_validacao_pr_auc,media_cv_recall,desvio_cv_recall,media_treino_recall,gap_treino_validacao_recall,media_cv_precision,desvio_cv_precision,media_treino_precision,gap_treino_validacao_precision,media_cv_f1,desvio_cv_f1,media_treino_f1,gap_treino_validacao_f1,media_cv_brier,desvio_cv_brier,media_treino_brier,gap_treino_validacao_brier,param_C,param_class_weight,param_solver,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features,param_n_estimators,param_learning_rate,param_subsample
RandomForestClassifier,141,241,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced,4.248021125793457,0.18348406064831035,0.8693412021781739,0.02399519206389113,0.9603019829960857,0.09096078081791181,0.7872526636225267,0.022842906611945504,0.8549791194368213,0.0677264558142946,0.8111787686771921,0.036370817017760064,0.8978950153954282,0.08671624671823608,0.7986166926598581,0.02452360722572672,0.8757613649288144,0.07714467226895627,0.1732031076356674,0.010795458316825922,0.12300683840309268,-0.050196269232574725,,balanced,,,None,10,2,0.7,600,,
RandomForestClassifier,143,241,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced,4.341594314575195,0.3547922741854861,0.8693412021781739,0.02399519206389113,0.9603019829960857,0.09096078081791181,0.7872526636225267,0.022842906611945504,0.8549791194368213,0.0677264558142946,0.8111787686771921,0.036370817017760064,0.8978950153954282,0.08671624671823608,0.7986166926598581,0.02452360722572672,0.8757613649288144,0.07714467226895627,0.1732031076356674,0.010795458316825922,0.12300683840309268,-0.050196269232574725,,balanced,,,None,10,10,0.7,600,,
RandomForestClassifier,290,243,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 300}","{""0"": 1, ""1"": 2.0}",2.510539674758911,0.6606288089098733,0.8693228526338789,0.024408920674241028,0.9689231504231491,0.09960029778927026,0.9753044140030441,0.02509350657066911,1.0,0.02469558599695587,0.6943407300820994,0.023250582072668804,0.7475879517994827,0.053247221717383275,0.8107994800653442,0.017242651953679175,0.8555550032469611,0.04475552318161691,0.18465109665341314,0.009010758162470522,0.13790811412082832,-0.046742982532584826,,"{""0"": 1, ""1"": 2.0}",,,6,3,10,sqrt,300,,
RandomForestClassifier,185,244,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced_subsample,5.690524101257324,0.35021620960614014,0.8693034849792765,0.0259053251334118,0.9866922994433311,0.11738881446405469,0.8453957382039574,0.02479170096081767,0.9171339935568547,0.07173825535289724,0.8060950585103432,0.030157780470187093,0.9319880124196951,0.12589295390935185,0.8250149237291975,0.023719480734755997,0.9244710593272922,0.09945613559809474,0.16630303123160584,0.011603102768758729,0.08690521758392201,-0.07939781364768382,,balanced_subsample,,,10,5,2,0.7,600,,
RandomForestClassifier,187,244,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced_subsample,6.267744016647339,0.5154700597376651,0.8693034849792765,0.0259053251334118,0.9866922994433311,0.11738881446405469,0.8453957382039574,0.02479170096081767,0.9171339935568547,0.07173825535289724,0.8060950585103432,0.030157780470187093,0.9319880124196951,0.12589295390935185,0.8250149237291975,0.023719480734755997,0.9244710593272922,0.09945613559809474,0.16630303123160584,0.011603102768758729,0.08690521758392201,-0.07939781364768382,,balanced_subsample,,,10,5,10,0.7,600,,
RandomForestClassifier,117,246,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced,5.905819988250732,1.227786945771071,0.8692721759735141,0.024156734515579367,0.9602865344895921,0.09101435851607798,0.7872526636225267,0.022842906611945504,0.8549791194368213,0.0677264558142946,0.8111787686771921,0.036370817017760064,0.8978950153954282,0.08671624671823608,0.7986166926598581,0.02452360722572672,0.8757613649288144,0.07714467226895627,0.17318852204979843,0.010809495728494036,0.12302521183993495,-0.050163310209863476,,balanced,,,10,10,2,0.7,600,,
RandomForestClassifier,119,246,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced,6.035474348068237,1.08240101865668,0.8692721759735141,0.024156734515579367,0.9602865344895921,0.09101435851607798,0.7872526636225267,0.022842906611945504,0.8549791194368213,0.0677264558142946,0.8111787686771921,0.036370817017760064,0.8978950153954282,0.08671624671823608,0.7986166926598581,0.02452360722572672,0.8757613649288144,0.07714467226895627,0.17318852204979843,0.010809495728494036,0.12302521183993495,-0.050163310209863476,,balanced,,,10,10,10,0.7,600,,
RandomForestClassifier,88,248,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 300}",balanced,2.180806875228882,0.21288721058882248,0.8692480055041788,0.018739173011163148,0.97225052796252,0.10300252245834118,0.7873668188736682,0.027877835263893955,0.8791361412719245,0.0917693223982563,0.8035613438598513,0.03076302402764564,0.9152426777057008,0.11168133384584944,0.7951179494038303,0.025463044989914228,0.896798698314516,0.10168074891068568,0.1707235028358654,0.009946782507299749,0.10931897615383224,-0.06140452668203317,,balanced,,,6,5,2,0.7,300,,
RandomForestClassifier,90,248,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300}",balanced,2.3911398887634276,0.2839407058743025,0.8692480055041788,0.018739173011163148,0.97225052796252,0.10300252245834118,0.7873668188736682,0.027877835263893955,0.8791361412719245,0.0917693223982563,0.8035613438598513,0.03076302402764564,0.9152426777057008,0.11168133384584944,0.7951179494038303,0.025463044989914228,0.896798698314516,0.10168074891068568,0.1707235028358654,0.009946782507299749,0.10931897615383224,-0.06140452668203317,,balanced,,,6,5,10,0.7,300,,
RandomForestClassifier,113,250,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced,5.500058555603028,1.1290845895940393,0.8691139230556473,0.024966148086122176,0.9867695334875393,0.11765561043189199,0.8453957382039574,0.02479170096081767,0.9171339935568549,0.07173825535289746,0.8039106823533644,0.030319926902518644,0.9306584521348551,0.12674776978149072,0.8239001386559807,0.024343471092909394,0.9238360993027162,0.09993596064673549,0.1661357029868914,0.011391328189099948,0.08690138468450063,-0.07923431830239076,,balanced,,,10,5,2,0.7,600,,
RandomForestClassifier,115,250,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced,5.588290500640869,1.3677929705012986,0.8691139230556473,0.024966148086122176,0.9867695334875393,0.11765561043189199,0.8453957382039574,0.02479170096081767,0.9171339935568549,0.07173825535289746,0.8039106823533644,0.030319926902518644,0.9306584521348551,0.12674776978149072,0.8239001386559807,0.024343471092909394,0.9238360993027162,0.09993596064673549,0.1661357029868914,0.011391328189099948,0.08690138468450063,-0.07923431830239076,,balanced,,,10,5,10,0.7,600,,
RandomForestClassifier,380,252,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",2.3159940242767334,0.5147739304499891,0.8688836525408415,0.028174595335191618,0.9512197629069327,0.08233611036609112,0.9807838660578387,0.025399080198035374,0.997241379310345,0.016457513252506217,0.6739133790957963,0.01999197657947968,0.7057764917126284,0.03186311261683206,0.7987993373823834,0.020755040727274313,0.826472122784665,0.027672785402281574,0.1996719807839306,0.014214012532767077,0.1612711641729852,-0.03840081661094541,,"{""0"": 1, ""1"": 3.0}",,,6,10,2,0.7,300,,
RandomForestClassifier,382,252,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",2.3316129207611085,0.4889869078926824,0.8688836525408415,0.028174595335191618,0.9512197629069327,0.08233611036609112,0.9807838660578387,0.025399080198035374,0.997241379310345,0.016457513252506217,0.6739133790957963,0.01999197657947968,0.7057764917126284,0.03186311261683206,0.7987993373823834,0.020755040727274313,0.826472122784665,0.027672785402281574,0.1996719807839306,0.014214012532767077,0.1612711641729852,-0.03840081661094541,,"{""0"": 1, ""1"": 3.0}",,,6,10,10,0.7,300,,
RandomForestClassifier,92,254,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 300}",balanced,3.203035497665405,1.0177924909656917,0.8688693180909712,0.022402365427604435,0.9543866640980777,0.08551734600710648,0.7623287671232877,0.029037599625528456,0.8308053931511752,0.06847662602788751,0.8164245057945534,0.042589683999646376,0.8945446313731542,0.07812012557860082,0.7877084108589093,0.02745965045263047,0.861351954475268,0.07364354361635872,0.17510095877022563,0.009994360893532474,0.13041160254523615,-0.044689356224989485,,balanced,,,6,10,2,0.7,300,,
RandomForestClassifier,94,254,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 300}",balanced,2.0807334423065185,0.1946277300681033,0.8688693180909712,0.022402365427604435,0.9543866640980777,0.08551734600710648,0.7623287671232877,0.029037599625528456,0.8308053931511752,0.06847662602788751,0.8164245057945534,0.042589683999646376,0.8945446313731542,0.07812012557860082,0.7877084108589093,0.02745965045263047,0.861351954475268,0.07364354361635872,0.17510095877022563,0.009994360893532474,0.13041160254523615,-0.044689356224989485,,balanced,,,6,10,10,0.7,300,,
RandomForestClassifier,197,256,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced_subsample,5.290901947021484,0.45404824671883137,0.8688481862533008,0.020854472948433497,0.9840731304608304,0.1152249442075296,0.8148782343987824,0.03991953256782209,0.9129817444219068,0.09810351002312445,0.7914981684981685,0.027033553702797503,0.935656065228233,0.14415789673006452,0.8024629212445549,0.026254219796318826,0.9241285973373424,0.12166567609278756,0.17580894112563042,0.0091755499441936,0.10422077169194029,-0.07158816943369013,,balanced_subsample,,,None,5,2,sqrt,600,,
RandomForestClassifier,199,256,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced_subsample,5.935223340988159,0.951254361768999,0.8688481862533008,0.020854472948433497,0.9840731304608304,0.1152249442075296,0.8148782343987824,0.03991953256782209,0.9129817444219068,0.09810351002312445,0.7914981684981685,0.027033553702797503,0.935656065228233,0.14415789673006452,0.8024629212445549,0.026254219796318826,0.9241285973373424,0.12166567609278756,0.17580894112563042,0.0091755499441936,0.10422077169194029,-0.07158816943369013,,balanced_subsample,,,None,5,10,sqrt,600,,
